IdProducto	Producto	Color	Precio Catálogo	Tamaño	Rango Tamaño	Línea	Modelo	IdSubcategoría
489	Camiseta de mangas cortas, M	Amarillo	53,99	M	M	S	Camiseta de mangas cortas	9
546	ML Ruta Pedal	Plateado/Negro	62,09		NA	R	ML Ruta Pedal	18
172	Pintura - Rojo	NA	null		NA			3
281	LL Ruta Marco - Negro, 44	Negro	337,22	44	42-46 CM	R	LL Ruta Marco	7
176	Perno de apriete	NA	null		NA			3
552	Desviador delantero	Plateado	91,49		NA		Desviador delantero	30
252	HL Ruta Marco - Rojo, 56	Rojo	1431,5	56	54-58 CM	R	HL Ruta Marco	7
190	LL Ruta Embalaje del asiento	NA	null		NA			3
393	HL Tenedor	NA	229,49		NA		HL Tenedor	27
17	Montaña Tapas de los extremos	NA	null		NA			3
491	Camiseta de mangas cortas, XL	Amarillo	53,99	XL	XL	S	Camiseta de mangas cortas	9
496	HL Turismo Marco - Amarillo, 54	Amarillo	1003,91	54	54-58 CM	T	HL Turismo Marco	12
206	Tubo del sillín	NA	null		NA			3
318	Ruta-450 Rojo, 48	Rojo	1457,99	48	48-52 CM	R	Ruta-450	4
454	Pantalón corto deportivo de Hombre, L	Negro	59,99	L	L	S	Pantalón corto deportivo de Hombre	14
369	Ruta-250 Rojo, 48	Rojo	2443,35	48	48-52 CM	R	Ruta-250	4
82	Externo Candado 3	NA	null		NA			3
341	Ruta-650 Negro, 48	Negro	782,99	48	48-52 CM	R	Ruta-650	4
487	Paquete de hidratación - 70	Plateado	54,99	70	70	S	Paquete de hidratación	31
307	HL Montaña Marco - Plateado, 38	Plateado	1204,3248	38	38-40 CM	M	HL Montaña Marco	10
87	Externo Candado 6	NA	null		NA			3
541	Turismo Neumáticos	NA	28,99		NA	T	Turismo Neumáticos	13
605	Ruta-750 Negro, 48	Negro	539,99	48	48-52 CM	R	Ruta-750	4
264	LL Ruta Marco - Rojo, 48	Rojo	306,5636	48	48-52 CM	R	LL Ruta Marco	7
553	LL Turismo Manillar	NA	46,09		NA	T	LL Turismo Manillar	6
251	HL Ruta Marco - Rojo, 56	Rojo	1301,3636	56	54-58 CM	R	HL Ruta Marco	7
191	ML Ruta Embalaje del asiento	NA	null		NA			3
566	Turismo-3000 Azul, 58	Azul	742,35	58	54-58 CM	T	Turismo-3000	1
92	Interno Candado 4	NA	null		NA			3
517	HL Montaña Asiento/Sillín	NA	52,64		NA	M	HL Montaña Asiento/Sillín 2	16
569	Turismo-3000 Amarillo, 50	Amarillo	742,35	50	48-52 CM	T	Turismo-3000	1
288	HL Montaña Marco - Plateado, 42	Plateado	1204,3248	42	42-46 CM	M	HL Montaña Marco	10
423	ML Ruta Rueda trasera	Negro	275,385		NA	R	ML Ruta Rueda trasera	17
385	Ruta-550-W Amarillo, 42	Amarillo	1000,4375	42	42-46 CM	R	Ruta-550-W	4
268	LL Ruta Marco - Rojo, 58	Rojo	306,5636	58	54-58 CM	R	LL Ruta Marco	7
304	HL Montaña Marco - Negro, 38	Negro	1191,1739	38	38-40 CM	M	HL Montaña Marco	10
97	Interno Candado 10	NA	null		NA			3
299	HL Montaña Marco - Negro, 44	Negro	1349,6	44	42-46 CM	M	HL Montaña Marco	10
424	HL Ruta Rueda trasera	Negro	357,06		NA	R	HL Ruta Rueda trasera	17
550	LL Montaña Marco - Negro, 40	Negro	249,79	40	38-40 CM	M	LL Montaña Marco	10
461	Pantalón corto con tirantes Hombre, L	Múltiple	89,99	L	L	S	Pantalón corto con tirantes Hombre	32
599	Montaña-500 Negro, 48	Negro	539,99	48	48-52 CM	M	Montaña-500	2
225	AWC Gorra con Logo	Múltiple	8,99		NA	S	Gorra de ciclismo	22
102	Candado fino 10	NA	null		NA			3
208	Polea de tensión	NA	null		NA			3
142	Candado 4	NA	null		NA			3
229	Manga larga Jersey, M	Múltiple	48,0673	M	M	S	Manga larga Jersey	9
107	Candado fino 5	NA	null		NA			3
494	HL Turismo Marco - Amarillo, 46	Amarillo	1003,91	46	42-46 CM	T	HL Turismo Marco	12
416	Turismo Rueda delantera	Negro	218,01		NA	T	Turismo Rueda delantera	17
256	LL Ruta Marco - Negro, 60	Negro	297,6346	60	60-62 CM	R	LL Ruta Marco	7
147	Candado 8	NA	null		NA			3
511	ML Montaña Marco-W - Plateado, 40	Plateado	364,09	40	38-40 CM	M	ML Montaña Marco-W	10
40	Candado hexagonal 1	NA	null		NA			3
373	Ruta-250 Negro, 44	Negro	2181,5625	44	42-46 CM	R	Ruta-250	4
112	Candado fino 14	NA	null		NA			3
492	HL Turismo Marco - Amarillo, 60	Amarillo	1003,91	60	60-62 CM	T	HL Turismo Marco	12
459	Pantalón corto con tirantes Hombre, S	Múltiple	89,99	S	S	S	Pantalón corto con tirantes Hombre	32
316	Ruta-450 Rojo, 60	Rojo	1457,99	60	60-62 CM	R	Ruta-450	4
349	Montaña-100 Negro, 42	Negro	3374,99	42	42-46 CM	M	Montaña-100	2
286	LL Ruta Marco - Negro, 52	Negro	306,5636	52	48-52 CM	R	LL Ruta Marco	7
152	Candado 9	NA	null		NA			3
308	HL Montaña Marco - Plateado, 38	Plateado	1240,4545	38	38-40 CM	M	HL Montaña Marco	10
434	ML Ruta Marco-W - Amarillo, 44	Amarillo	594,83	44	42-46 CM	R	ML Ruta Marco-W	7
558	HL Platos y bielas	Negro	404,99		NA		HL Platos y bielas	25
261	LL Ruta Marco - Negro, 62	Negro	337,22	62	60-62 CM	R	LL Ruta Marco	7
45	Candado hexagonal 6	NA	null		NA			3
577	Turismo-2000 Azul, 46	Azul	1214,85	46	42-46 CM	T	Turismo-2000	1
117	Candado de bloqueo 5	NA	null		NA			3
501	Cambio trasero	Plateado	121,46		NA		Cambio trasero	30
4	Auriculares Bolas	NA	null		NA			3
432	ML Ruta Marco-W - Amarillo, 42	Amarillo	594,83	42	42-46 CM	R	ML Ruta Marco-W	7
157	Barra de metal 2	NA	null		NA			3
430	ML Ruta Marco-W - Amarillo, 40	Amarillo	594,83	40	38-40 CM	R	ML Ruta Marco-W	7
585	Turismo-3000 Azul, 44	Azul	742,35	44	42-46 CM	T	Turismo-3000	1
50	Candado hexagonal 7	NA	null		NA			3
122	Candado de bloqueo 8	NA	null		NA			3
540	HL Ruta Neumáticos	NA	32,6		NA	R	HL Ruta Neumáticos	13
24	Candado plano 2	NA	null		NA			3
289	HL Montaña Marco - Plateado, 42	Plateado	1240,4545	42	42-46 CM	M	HL Montaña Marco	10
345	Montaña-100 Plateado, 42	Plateado	3399,99	42	42-46 CM	M	Montaña-100	2
336	Ruta-650 Negro, 62	Negro	699,0982	62	60-62 CM	R	Ruta-650	4
162	Lámina de metal 3	NA	null		NA			3
249	HL Ruta Marco - Rojo, 52	Rojo	1431,5	52	48-52 CM	R	HL Ruta Marco	7
55	Tuerca Hexagonal 6	NA	null		NA			3
127	Candado de bloqueo 13	NA	null		NA			3
29	Candado plano 5	NA	null		NA			3
462	Guantes media mano, S	Negro	23,5481	S	S	S	Guantes media mano	5
31	Corona Tenedor	NA	null		NA			3
505	LL Turismo Marco - Azul, 62	Azul	333,42	62	60-62 CM	T	LL Turismo Marco	12
167	Lámina de metal 1	NA	null		NA			3
201	Orejera del asiento	NA	null		NA			3
449	Montaña Bomba	NA	24,99		NA	M	Montaña Bomba	19
267	LL Ruta Marco - Rojo, 52	Rojo	337,22	52	48-52 CM	R	LL Ruta Marco	7
60	Tuerca Hexagonal 9	NA	null		NA			3
132	Candado de bloqueo 20	NA	null		NA			3
551	LL Montaña Marco - Plateado, 40	Plateado	264,05	40	38-40 CM	M	LL Montaña Marco	10
339	Ruta-650 Negro, 44	Negro	782,99	44	42-46 CM	R	Ruta-650	4
428	ML Montaña Marco - Negro, 48	Negro	348,76	48	48-52 CM	M	ML Montaña Marco	10
472	Chaleco clásico, M	Azul	63,5	M	M	S	Chaleco clásico	15
406	ML Ruta Manillar	NA	61,92		NA	R	ML Ruta Manillar	6
65	Tuerca Hexagonal 1	NA	null		NA			3
137	Candado de bloqueo 4	NA	null		NA			3
211	HL Ruta Marco - Rojo, 58	Rojo	null	58	54-58 CM	R	HL Ruta Marco	7
447	Bloqueo de cable	NA	25		NA	S	Bloqueo de cable	33
275	ML Ruta Marco - Rojo, 48	Rojo	594,83	48	48-52 CM	R	ML Ruta Marco	7
311	Ruta-150 Rojo, 44	Rojo	3578,27	44	42-46 CM	R	Ruta-150	4
70	Tuerca Hexagonal 21	NA	null		NA			3
313	Ruta-150 Rojo, 52	Rojo	3578,27	52	48-52 CM	R	Ruta-150	4
325	Ruta-650 Rojo, 62	Rojo	782,99	62	60-62 CM	R	Ruta-650	4
248	HL Ruta Marco - Rojo, 52	Rojo	1301,3636	52	48-52 CM	R	HL Ruta Marco	7
334	Ruta-650 Negro, 60	Negro	699,0982	60	60-62 CM	R	Ruta-650	4
350	Montaña-100 Negro, 44	Negro	3374,99	44	42-46 CM	M	Montaña-100	2
436	ML Ruta Marco-W - Amarillo, 48	Amarillo	594,83	48	48-52 CM	R	ML Ruta Marco-W	7
400	ML Montaña Manillar	NA	61,92		NA	M	ML Montaña Manillar	6
283	LL Ruta Marco - Negro, 48	Negro	306,5636	48	48-52 CM	R	LL Ruta Marco	7
587	Montaña-400-W Plateado, 38	Plateado	769,49	38	38-40 CM	M	Montaña-400-W	2
75	Tuerca Hexagonal 18	NA	null		NA			3
372	Ruta-250 Rojo, 58	Rojo	2443,35	58	54-58 CM	R	Ruta-250	4
425	Turismo Rueda trasera	Negro	245,01		NA	T	Turismo Rueda trasera	17
32	Desviador delantero Jaula	Plateado	null		NA			3
509	LL Turismo Marco - Amarillo, 58	Amarillo	333,42	58	54-58 CM	T	LL Turismo Marco	12
187	LL Montaña Embalaje del asiento	NA	null		NA			3
174	Pintura - Azul	NA	null		NA			3
178	Cono formado	NA	null		NA			3
480	Kit de parches	NA	2,29		NA	S	Kit de parches	13
346	Montaña-100 Plateado, 44	Plateado	3399,99	44	42-46 CM	M	Montaña-100	2
19	Turismo Tapas de los extremos	NA	null		NA			3
379	Ruta-250 Negro, 58	Negro	2181,5625	58	54-58 CM	R	Ruta-250	4
482	Calcetines de carreras, L	Blanco	8,99	L	L	R	Calcetines de carreras	26
446	Turismo de alforjas grandes	Gris	125		NA	T	Turismo Alforjas	34
246	HL Ruta Marco - Rojo, 48	Rojo	1431,5	48	48-52 CM	R	HL Ruta Marco	7
254	LL Ruta Marco - Negro, 58	Negro	306,5636	58	54-58 CM	R	LL Ruta Marco	7
391	LL Tenedor	NA	148,22		NA		LL Tenedor	27
359	Montaña-200 Negro, 38	Negro	2294,99	38	38-40 CM	M	Montaña-200	2
323	Ruta-650 Rojo, 60	Rojo	782,99	60	60-62 CM	R	Ruta-650	4
405	ML Ruta Manillar	NA	56,2909		NA	R	ML Ruta Manillar	6
205	Asientos S.	NA	null		NA			3
506	LL Turismo Marco - Amarillo, 44	Amarillo	333,42	44	42-46 CM	T	LL Turismo Marco	12
84	Externo Candado 9	NA	null		NA			3
531	LL Montaña Marco - Negro, 42	Negro	249,79	42	42-46 CM	M	LL Montaña Marco	10
460	Pantalón corto con tirantes Hombre, M	Múltiple	89,99	M	M	S	Pantalón corto con tirantes Hombre	32
579	Turismo-2000 Azul, 54	Azul	1214,85	54	54-58 CM	T	Turismo-2000	1
188	ML Montaña Embalaje del asiento	NA	null		NA			3
596	Montaña-500 Negro, 40	Negro	539,99	40	38-40 CM	M	Montaña-500	2
89	Externo Candado 8	NA	null		NA			3
398	LL Montaña Manillar	NA	44,54		NA	M	LL Montaña Manillar	6
483	Enganche - 4-Bicicleta	NA	120		NA	S	Enganche - 4-Bicicleta	35
203	Poste del asiento	NA	null		NA			3
219	Montaña Bicicleta Calcetines, L	Blanco	9,5	L	L	M	Montaña Bicicleta Calcetines	26
266	LL Ruta Marco - Rojo, 52	Rojo	306,5636	52	48-52 CM	R	LL Ruta Marco	7
484	Disolvente para lavar Bicicletas	NA	7,95		NA	S	Limpiador Bicicleta	36
302	HL Montaña Marco - Negro, 46	Negro	1226,9091	46	42-46 CM	M	HL Montaña Marco	10
320	Ruta-650 Rojo, 58	Rojo	699,0982	58	54-58 CM	R	Ruta-650	4
399	ML Montaña Manillar	NA	56,2909		NA	M	ML Montaña Manillar	6
94	Interno Candado 5	NA	null		NA			3
548	Turismo Pedal	Plateado/Negro	80,99		NA	T	Turismo Pedal	18
245	HL Ruta Marco - Rojo, 48	Rojo	1301,3636	48	48-52 CM	R	HL Ruta Marco	7
549	ML Montaña Marco-W - Plateado, 38	Plateado	364,09	38	38-40 CM	M	ML Montaña Marco-W	10
298	HL Montaña Marco - Negro, 42	Negro	1349,6	42	42-46 CM	M	HL Montaña Marco	10
184	ML Ruta Llanta	NA	null		NA			3
383	Ruta-550-W Amarillo, 40	Amarillo	1000,4375	40	38-40 CM	R	Ruta-550-W	4
413	LL Ruta Rueda delantera	Negro	85,565		NA	R	LL Ruta Rueda delantera	17
394	LL Auriculares	NA	34,2		NA		LL Auriculares	20
510	LL Turismo Marco - Azul, 44	Azul	333,42	44	42-46 CM	T	LL Turismo Marco	12
409	ML Montaña Marco - Negro, 38	Negro	348,76	38	38-40 CM	M	ML Montaña Marco-W	10
457	Licra de mujer M	Negro	74,99	M	M	S	Mallas de mujer	23
99	Interno Candado 8	NA	null		NA			3
527	LL Montaña Marco - Plateado, 52	Plateado	264,05	52	48-52 CM	M	LL Montaña Marco	10
485	Juego de guardabarros - Montaña	NA	21,98		NA	M	Juego de guardabarros - Montaña	37
15	Calcomanía 2	NA	null		NA			3
104	Candado fino 2	NA	null		NA			3
144	Candado 10	NA	null		NA			3
597	Montaña-500 Negro, 42	Negro	539,99	42	42-46 CM	M	Montaña-500	2
468	Guantes de dedo completo, S	Negro	37,99	S	S	M	Guantes de dedo completo	5
381	Ruta-550-W Amarillo, 38	Amarillo	1000,4375	38	38-40 CM	R	Ruta-550-W	4
109	Candado fino 3	NA	null		NA			3
149	Candado 7	NA	null		NA			3
186	Turismo Llanta	NA	null		NA			3
42	Candado hexagonal 15	NA	null		NA			3
114	Candado fino 8	NA	null		NA			3
522	ML Turismo Asiento/Sillín	NA	39,14		NA	T	ML Turismo Asiento/Sillín	16
488	Camiseta de mangas cortas, S	Amarillo	53,99	S	S	S	Camiseta de mangas cortas	9
154	Candado 11	NA	null		NA			3
567	Turismo-3000 Azul, 62	Azul	742,35	62	60-62 CM	T	Turismo-3000	1
47	Candado hexagonal 4	NA	null		NA			3
119	Candado de bloqueo 16	NA	null		NA			3
526	LL Montaña Marco - Plateado, 48	Plateado	264,05	48	48-52 CM	M	LL Montaña Marco	10
330	Ruta-650 Rojo, 52	Rojo	699,0982	52	48-52 CM	R	Ruta-650	4
159	Placa metálica 1	NA	null		NA			3
530	Turismo Tubo de neumáticos	NA	4,99		NA	T	Turismo Tubo de neumáticos	13
389	Ruta-550-W Amarillo, 48	Amarillo	1000,4375	48	48-52 CM	R	Ruta-550-W	4
565	Turismo-3000 Azul, 54	Azul	742,35	54	54-58 CM	T	Turismo-3000	1
583	Ruta-350-W Amarillo, 48	Amarillo	1700,99	48	48-52 CM	R	Ruta-350-W	4
52	Candado hexagonal 12	NA	null		NA			3
516	ML Montaña Asiento/Sillín	NA	39,14		NA	M	ML Montaña Asiento/Sillín 2	16
124	Candado de bloqueo 22	NA	null		NA			3
26	Candado plano 4	NA	null		NA			3
250	HL Ruta Marco - Rojo, 56	Rojo	1263,4598	56	54-58 CM	R	HL Ruta Marco	7
312	Ruta-150 Rojo, 48	Rojo	3578,27	48	48-52 CM	R	Ruta-150	4
164	Lámina de metal 4	NA	null		NA			3
408	HL Ruta Manillar	NA	120,27		NA	R	HL Ruta Manillar	6
427	ML Montaña Marco - Negro, 44	Negro	348,76	44	42-46 CM	M	ML Montaña Marco	10
57	Tuerca Hexagonal 17	NA	null		NA			3
508	LL Turismo Marco - Amarillo, 54	Amarillo	333,42	54	54-58 CM	T	LL Turismo Marco	12
129	Candado de bloqueo 10	NA	null		NA			3
16	Tubo descendente	NA	null		NA			3
414	ML Ruta Rueda delantera	Negro	248,385		NA	R	ML Ruta Rueda delantera	17
361	Montaña-200 Negro, 42	Negro	2294,99	42	42-46 CM	M	Montaña-200	2
62	Tuerca Hexagonal 23	NA	null		NA			3
134	Candado de bloqueo 3	NA	null		NA			3
515	LL Montaña Asiento/Sillín	NA	27,12		NA	M	LL Montaña Asiento/Sillín 2	16
296	HL Montaña Marco - Negro, 42	Negro	1191,1739	42	42-46 CM	M	HL Montaña Marco	10
183	LL Ruta Llanta	NA	null		NA			3
363	Montaña-200 Negro, 46	Negro	2294,99	46	42-46 CM	M	Montaña-200	2
470	Guantes de dedo completo, L	Negro	37,99	L	L	M	Guantes de dedo completo	5
598	Montaña-500 Negro, 44	Negro	539,99	44	42-46 CM	M	Montaña-500	2
602	ML Pedal	NA	101,24		NA		ML Pedal	18
364	Montaña-300 Negro, 38	Negro	1079,99	38	38-40 CM	M	Montaña-300	2
67	Tuerca Hexagonal 11	NA	null		NA			3
139	Candado de bloqueo 18	NA	null		NA			3
340	Ruta-650 Negro, 48	Negro	699,0982	48	48-52 CM	R	Ruta-650	4
590	Montaña-400-W Plateado, 46	Plateado	769,49	46	42-46 CM	M	Montaña-400-W	2
490	Camiseta de mangas cortas, L	Amarillo	53,99	L	L	S	Camiseta de mangas cortas	9
557	ML Platos y bielas	Negro	256,49		NA		ML Platos y bielas	25
72	Tuerca Hexagonal 14	NA	null		NA			3
514	Frenos traseros	Plateado	106,5		NA		Frenos traseros	28
234	Manga larga Jersey, L	Múltiple	49,99	L	L	S	Manga larga Jersey	9
594	Montaña-500 Plateado, 48	Plateado	564,99	48	48-52 CM	M	Montaña-500	2
223	AWC Gorra con Logo	Múltiple	8,6442		NA	S	Gorra de ciclismo	22
387	Ruta-550-W Amarillo, 44	Amarillo	1000,4375	44	42-46 CM	R	Ruta-550-W	4
285	LL Ruta Marco - Negro, 52	Negro	297,6346	52	48-52 CM	R	LL Ruta Marco	7
171	Pintura - Negro	NA	null		NA			3
295	HL Montaña Marco - Plateado, 46	Plateado	1364,5	46	42-46 CM	M	HL Montaña Marco	10
438	HL Ruta Marco - Negro, 62	Negro	1431,5	62	60-62 CM	R	HL Ruta Marco	7
376	Ruta-250 Negro, 48	Negro	2443,35	48	48-52 CM	R	Ruta-250	4
280	LL Ruta Marco - Negro, 44	Negro	306,5636	44	42-46 CM	R	LL Ruta Marco	7
2	Bola de rodamiento	NA	null		NA			3
258	LL Ruta Marco - Negro, 60	Negro	337,22	60	60-62 CM	R	LL Ruta Marco	7
209	Cambio trasero Jaula	Plateado	null		NA			3
