IdProducto	Producto	Color	Precio Catálogo	Tamaño	Rango Tamaño	Línea	Modelo	Subcategoría	Categoría
444	HL Ruta Marco - Negro, 52	Negro	1431,5	52	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
110	Candado fino 4	NA	null		NA			null	null
326	Ruta-650 Rojo, 44	Rojo	699,0982	44	42-46 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
507	LL Turismo Marco - Amarillo, 50	Amarillo	333,42	50	48-52 CM	T	LL Turismo Marco	Turismo Marco	Componentes
150	Candado 12	NA	null		NA			null	null
560	Turismo-2000 Azul, 60	Azul	1214,85	60	60-62 CM	T	Turismo-2000	Turismo Bicicletas	Bicicletas
321	Ruta-650 Rojo, 58	Rojo	782,99	58	54-58 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
43	Candado hexagonal 16	NA	null		NA			null	null
115	Candado fino 12	NA	null		NA			null	null
392	ML Tenedor	NA	175,49		NA		ML Tenedor	Tenedores	Componentes
347	Montaña-100 Plateado, 48	Plateado	3399,99	48	48-52 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
155	Ángulo de metal	NA	null		NA			null	null
547	HL Ruta Pedal	Plateado/Negro	80,99		NA	R	HL Ruta Pedal	Pedales	Componentes
48	Candado hexagonal 13	NA	null		NA			null	null
120	Candado de bloqueo 17	NA	null		NA			null	null
22	Candado plano 1	NA	null		NA			null	null
160	Placa metálica 3	NA	null		NA			null	null
342	Ruta-650 Negro, 52	Negro	699,0982	52	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
578	Turismo-2000 Azul, 50	Azul	1214,85	50	48-52 CM	T	Turismo-2000	Turismo Bicicletas	Bicicletas
80	HL Cubo	NA	null		NA			null	null
53	Candado hexagonal 11	NA	null		NA			null	null
125	Candado de bloqueo 23	NA	null		NA			null	null
27	Candado plano 3	NA	null		NA			null	null
270	LL Ruta Marco - Rojo, 60	Rojo	306,5636	60	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
278	ML Ruta Marco - Rojo, 60	Rojo	594,83	60	60-62 CM	R	ML Ruta Marco	Ruta Marco	Componentes
422	LL Ruta Rueda trasera	Negro	112,565		NA	R	LL Ruta Rueda trasera	Ruedas	Componentes
415	HL Ruta Rueda delantera	Negro	330,06		NA	R	HL Ruta Rueda delantera	Ruedas	Componentes
272	LL Ruta Marco - Rojo, 62	Rojo	306,5636	62	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
165	Lámina de metal 5	NA	null		NA			null	null
443	HL Ruta Marco - Negro, 52	Negro	1301,3636	52	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
265	LL Ruta Marco - Rojo, 48	Rojo	337,22	48	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
235	Manga larga Jersey, XL	Múltiple	48,0673	XL	XL	S	Manga larga Jersey	Jerseys	Ropa
354	Montaña-200 Plateado, 42	Plateado	2071,4196	42	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
77	Tubo de manillar	NA	null		NA			null	null
58	Tuerca Hexagonal 7	NA	null		NA			null	null
130	Candado de bloqueo 11	NA	null		NA			null	null
356	Montaña-200 Plateado, 46	Plateado	2071,4196	46	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
378	Ruta-250 Negro, 52	Negro	2443,35	52	48-52 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
545	LL Ruta Pedal	Plateado/Negro	40,49		NA	R	LL Ruta Pedal	Pedales	Componentes
532	LL Montaña Marco - Negro, 44	Negro	249,79	44	42-46 CM	M	LL Montaña Marco	Montaña Marco	Componentes
63	Tuerca Hexagonal 12	NA	null		NA			null	null
135	Candado de bloqueo 14	NA	null		NA			null	null
140	Anillo de cierre	Plateado	null		NA			null	null
269	LL Ruta Marco - Rojo, 58	Rojo	337,22	58	54-58 CM	R	LL Ruta Marco	Ruta Marco	Componentes
189	HL Montaña Embalaje del asiento	NA	null		NA			null	null
306	HL Montaña Marco - Negro, 38	Negro	1349,6	38	38-40 CM	M	HL Montaña Marco	Montaña Marco	Componentes
262	LL Ruta Marco - Rojo, 44	Rojo	306,5636	44	42-46 CM	R	LL Ruta Marco	Ruta Marco	Componentes
467	Guantes media mano, L	Negro	24,49	L	L	S	Guantes media mano	Guantes	Ropa
9	Tornillos de platón	Plateado	null		NA			null	null
68	Tuerca Hexagonal 2	NA	null		NA			null	null
497	HL Turismo Marco - Azul, 46	Azul	1003,91	46	42-46 CM	T	HL Turismo Marco	Turismo Marco	Componentes
571	Turismo-3000 Amarillo, 58	Amarillo	742,35	58	54-58 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
555	Frenos delanteros	Plateado	106,5		NA		Frenos delanteros	Frenos	Componentes
493	LL Turismo Marco - Amarillo, 62	Amarillo	333,42	62	60-62 CM	T	LL Turismo Marco	Turismo Marco	Componentes
469	Guantes de dedo completo, M	Negro	37,99	M	M	M	Guantes de dedo completo	Guantes	Ropa
375	Ruta-250 Negro, 48	Negro	2181,5625	48	48-52 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
542	LL Montaña Pedal	Plateado/Negro	40,49		NA	M	LL Montaña Pedal	Pedales	Componentes
331	Ruta-650 Rojo, 52	Rojo	782,99	52	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
210	HL Ruta Marco - Negro, 58	Negro	null	58	54-58 CM	R	HL Ruta Marco	Ruta Marco	Componentes
226	Manga larga Jersey, S	Múltiple	48,0673	S	S	S	Manga larga Jersey	Jerseys	Ropa
559	Cadena	Plateado	20,24		NA		Cadena	Cadenas	Componentes
464	Guantes media mano, M	Negro	23,5481	M	M	S	Guantes media mano	Guantes	Ropa
417	ML Ruta Marco-W - Amarillo, 38	Amarillo	540,7545	38	38-40 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
73	Tuerca Hexagonal 15	NA	null		NA			null	null
407	HL Ruta Manillar	NA	109,3364		NA	R	HL Ruta Manillar	Manillar	Componentes
575	Turismo-1000 Azul, 54	Azul	2384,07	54	54-58 CM	T	Turismo-1000	Turismo Bicicletas	Bicicletas
503	LL Turismo Marco - Azul, 54	Azul	333,42	54	54-58 CM	T	LL Turismo Marco	Turismo Marco	Componentes
489	Camiseta de mangas cortas, M	Amarillo	53,99	M	M	S	Camiseta de mangas cortas	Jerseys	Ropa
546	ML Ruta Pedal	Plateado/Negro	62,09		NA	R	ML Ruta Pedal	Pedales	Componentes
172	Pintura - Rojo	NA	null		NA			null	null
281	LL Ruta Marco - Negro, 44	Negro	337,22	44	42-46 CM	R	LL Ruta Marco	Ruta Marco	Componentes
176	Perno de apriete	NA	null		NA			null	null
552	Desviador delantero	Plateado	91,49		NA		Desviador delantero	Desviadores	Componentes
252	HL Ruta Marco - Rojo, 56	Rojo	1431,5	56	54-58 CM	R	HL Ruta Marco	Ruta Marco	Componentes
190	LL Ruta Embalaje del asiento	NA	null		NA			null	null
393	HL Tenedor	NA	229,49		NA		HL Tenedor	Tenedores	Componentes
17	Montaña Tapas de los extremos	NA	null		NA			null	null
491	Camiseta de mangas cortas, XL	Amarillo	53,99	XL	XL	S	Camiseta de mangas cortas	Jerseys	Ropa
496	HL Turismo Marco - Amarillo, 54	Amarillo	1003,91	54	54-58 CM	T	HL Turismo Marco	Turismo Marco	Componentes
206	Tubo del sillín	NA	null		NA			null	null
318	Ruta-450 Rojo, 48	Rojo	1457,99	48	48-52 CM	R	Ruta-450	Ruta Bicicletas	Bicicletas
454	Pantalón corto deportivo de Hombre, L	Negro	59,99	L	L	S	Pantalón corto deportivo de Hombre	Pantalones cortos	Ropa
369	Ruta-250 Rojo, 48	Rojo	2443,35	48	48-52 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
82	Externo Candado 3	NA	null		NA			null	null
341	Ruta-650 Negro, 48	Negro	782,99	48	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
487	Paquete de hidratación - 70	Plateado	54,99	70	70	S	Paquete de hidratación	Mochilas de hidratación	Accesorios
307	HL Montaña Marco - Plateado, 38	Plateado	1204,3248	38	38-40 CM	M	HL Montaña Marco	Montaña Marco	Componentes
87	Externo Candado 6	NA	null		NA			null	null
541	Turismo Neumáticos	NA	28,99		NA	T	Turismo Neumáticos	Neumáticos y tubos	Accesorios
605	Ruta-750 Negro, 48	Negro	539,99	48	48-52 CM	R	Ruta-750	Ruta Bicicletas	Bicicletas
264	LL Ruta Marco - Rojo, 48	Rojo	306,5636	48	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
553	LL Turismo Manillar	NA	46,09		NA	T	LL Turismo Manillar	Manillar	Componentes
251	HL Ruta Marco - Rojo, 56	Rojo	1301,3636	56	54-58 CM	R	HL Ruta Marco	Ruta Marco	Componentes
191	ML Ruta Embalaje del asiento	NA	null		NA			null	null
566	Turismo-3000 Azul, 58	Azul	742,35	58	54-58 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
92	Interno Candado 4	NA	null		NA			null	null
517	HL Montaña Asiento/Sillín	NA	52,64		NA	M	HL Montaña Asiento/Sillín 2	Asientos	Componentes
569	Turismo-3000 Amarillo, 50	Amarillo	742,35	50	48-52 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
288	HL Montaña Marco - Plateado, 42	Plateado	1204,3248	42	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
423	ML Ruta Rueda trasera	Negro	275,385		NA	R	ML Ruta Rueda trasera	Ruedas	Componentes
385	Ruta-550-W Amarillo, 42	Amarillo	1000,4375	42	42-46 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
268	LL Ruta Marco - Rojo, 58	Rojo	306,5636	58	54-58 CM	R	LL Ruta Marco	Ruta Marco	Componentes
304	HL Montaña Marco - Negro, 38	Negro	1191,1739	38	38-40 CM	M	HL Montaña Marco	Montaña Marco	Componentes
97	Interno Candado 10	NA	null		NA			null	null
299	HL Montaña Marco - Negro, 44	Negro	1349,6	44	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
424	HL Ruta Rueda trasera	Negro	357,06		NA	R	HL Ruta Rueda trasera	Ruedas	Componentes
550	LL Montaña Marco - Negro, 40	Negro	249,79	40	38-40 CM	M	LL Montaña Marco	Montaña Marco	Componentes
461	Pantalón corto con tirantes Hombre, L	Múltiple	89,99	L	L	S	Pantalón corto con tirantes Hombre	Pantalón de tirantes	Ropa
599	Montaña-500 Negro, 48	Negro	539,99	48	48-52 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
225	AWC Gorra con Logo	Múltiple	8,99		NA	S	Gorra de ciclismo	Gorras	Ropa
102	Candado fino 10	NA	null		NA			null	null
208	Polea de tensión	NA	null		NA			null	null
142	Candado 4	NA	null		NA			null	null
229	Manga larga Jersey, M	Múltiple	48,0673	M	M	S	Manga larga Jersey	Jerseys	Ropa
107	Candado fino 5	NA	null		NA			null	null
494	HL Turismo Marco - Amarillo, 46	Amarillo	1003,91	46	42-46 CM	T	HL Turismo Marco	Turismo Marco	Componentes
416	Turismo Rueda delantera	Negro	218,01		NA	T	Turismo Rueda delantera	Ruedas	Componentes
256	LL Ruta Marco - Negro, 60	Negro	297,6346	60	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
147	Candado 8	NA	null		NA			null	null
511	ML Montaña Marco-W - Plateado, 40	Plateado	364,09	40	38-40 CM	M	ML Montaña Marco-W	Montaña Marco	Componentes
40	Candado hexagonal 1	NA	null		NA			null	null
373	Ruta-250 Negro, 44	Negro	2181,5625	44	42-46 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
112	Candado fino 14	NA	null		NA			null	null
492	HL Turismo Marco - Amarillo, 60	Amarillo	1003,91	60	60-62 CM	T	HL Turismo Marco	Turismo Marco	Componentes
459	Pantalón corto con tirantes Hombre, S	Múltiple	89,99	S	S	S	Pantalón corto con tirantes Hombre	Pantalón de tirantes	Ropa
316	Ruta-450 Rojo, 60	Rojo	1457,99	60	60-62 CM	R	Ruta-450	Ruta Bicicletas	Bicicletas
349	Montaña-100 Negro, 42	Negro	3374,99	42	42-46 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
286	LL Ruta Marco - Negro, 52	Negro	306,5636	52	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
152	Candado 9	NA	null		NA			null	null
308	HL Montaña Marco - Plateado, 38	Plateado	1240,4545	38	38-40 CM	M	HL Montaña Marco	Montaña Marco	Componentes
434	ML Ruta Marco-W - Amarillo, 44	Amarillo	594,83	44	42-46 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
558	HL Platos y bielas	Negro	404,99		NA		HL Platos y bielas	Platos y bielas	Componentes
261	LL Ruta Marco - Negro, 62	Negro	337,22	62	60-62 CM	R	LL Ruta Marco	Ruta Marco	Componentes
45	Candado hexagonal 6	NA	null		NA			null	null
577	Turismo-2000 Azul, 46	Azul	1214,85	46	42-46 CM	T	Turismo-2000	Turismo Bicicletas	Bicicletas
117	Candado de bloqueo 5	NA	null		NA			null	null
501	Cambio trasero	Plateado	121,46		NA		Cambio trasero	Desviadores	Componentes
4	Auriculares Bolas	NA	null		NA			null	null
432	ML Ruta Marco-W - Amarillo, 42	Amarillo	594,83	42	42-46 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
157	Barra de metal 2	NA	null		NA			null	null
430	ML Ruta Marco-W - Amarillo, 40	Amarillo	594,83	40	38-40 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
585	Turismo-3000 Azul, 44	Azul	742,35	44	42-46 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
50	Candado hexagonal 7	NA	null		NA			null	null
122	Candado de bloqueo 8	NA	null		NA			null	null
540	HL Ruta Neumáticos	NA	32,6		NA	R	HL Ruta Neumáticos	Neumáticos y tubos	Accesorios
24	Candado plano 2	NA	null		NA			null	null
289	HL Montaña Marco - Plateado, 42	Plateado	1240,4545	42	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
345	Montaña-100 Plateado, 42	Plateado	3399,99	42	42-46 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
336	Ruta-650 Negro, 62	Negro	699,0982	62	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
162	Lámina de metal 3	NA	null		NA			null	null
249	HL Ruta Marco - Rojo, 52	Rojo	1431,5	52	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
55	Tuerca Hexagonal 6	NA	null		NA			null	null
127	Candado de bloqueo 13	NA	null		NA			null	null
29	Candado plano 5	NA	null		NA			null	null
462	Guantes media mano, S	Negro	23,5481	S	S	S	Guantes media mano	Guantes	Ropa
31	Corona Tenedor	NA	null		NA			null	null
505	LL Turismo Marco - Azul, 62	Azul	333,42	62	60-62 CM	T	LL Turismo Marco	Turismo Marco	Componentes
167	Lámina de metal 1	NA	null		NA			null	null
201	Orejera del asiento	NA	null		NA			null	null
449	Montaña Bomba	NA	24,99		NA	M	Montaña Bomba	Bombas	Accesorios
267	LL Ruta Marco - Rojo, 52	Rojo	337,22	52	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
60	Tuerca Hexagonal 9	NA	null		NA			null	null
132	Candado de bloqueo 20	NA	null		NA			null	null
551	LL Montaña Marco - Plateado, 40	Plateado	264,05	40	38-40 CM	M	LL Montaña Marco	Montaña Marco	Componentes
339	Ruta-650 Negro, 44	Negro	782,99	44	42-46 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
428	ML Montaña Marco - Negro, 48	Negro	348,76	48	48-52 CM	M	ML Montaña Marco	Montaña Marco	Componentes
472	Chaleco clásico, M	Azul	63,5	M	M	S	Chaleco clásico	Chalecos	Ropa
406	ML Ruta Manillar	NA	61,92		NA	R	ML Ruta Manillar	Manillar	Componentes
65	Tuerca Hexagonal 1	NA	null		NA			null	null
137	Candado de bloqueo 4	NA	null		NA			null	null
211	HL Ruta Marco - Rojo, 58	Rojo	null	58	54-58 CM	R	HL Ruta Marco	Ruta Marco	Componentes
447	Bloqueo de cable	NA	25		NA	S	Bloqueo de cable	Cerraduras	Accesorios
275	ML Ruta Marco - Rojo, 48	Rojo	594,83	48	48-52 CM	R	ML Ruta Marco	Ruta Marco	Componentes
311	Ruta-150 Rojo, 44	Rojo	3578,27	44	42-46 CM	R	Ruta-150	Ruta Bicicletas	Bicicletas
70	Tuerca Hexagonal 21	NA	null		NA			null	null
313	Ruta-150 Rojo, 52	Rojo	3578,27	52	48-52 CM	R	Ruta-150	Ruta Bicicletas	Bicicletas
325	Ruta-650 Rojo, 62	Rojo	782,99	62	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
248	HL Ruta Marco - Rojo, 52	Rojo	1301,3636	52	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
334	Ruta-650 Negro, 60	Negro	699,0982	60	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
350	Montaña-100 Negro, 44	Negro	3374,99	44	42-46 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
436	ML Ruta Marco-W - Amarillo, 48	Amarillo	594,83	48	48-52 CM	R	ML Ruta Marco-W	Ruta Marco	Componentes
400	ML Montaña Manillar	NA	61,92		NA	M	ML Montaña Manillar	Manillar	Componentes
283	LL Ruta Marco - Negro, 48	Negro	306,5636	48	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
587	Montaña-400-W Plateado, 38	Plateado	769,49	38	38-40 CM	M	Montaña-400-W	Montaña Bicicletas	Bicicletas
75	Tuerca Hexagonal 18	NA	null		NA			null	null
372	Ruta-250 Rojo, 58	Rojo	2443,35	58	54-58 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
425	Turismo Rueda trasera	Negro	245,01		NA	T	Turismo Rueda trasera	Ruedas	Componentes
32	Desviador delantero Jaula	Plateado	null		NA			null	null
509	LL Turismo Marco - Amarillo, 58	Amarillo	333,42	58	54-58 CM	T	LL Turismo Marco	Turismo Marco	Componentes
187	LL Montaña Embalaje del asiento	NA	null		NA			null	null
174	Pintura - Azul	NA	null		NA			null	null
178	Cono formado	NA	null		NA			null	null
480	Kit de parches	NA	2,29		NA	S	Kit de parches	Neumáticos y tubos	Accesorios
346	Montaña-100 Plateado, 44	Plateado	3399,99	44	42-46 CM	M	Montaña-100	Montaña Bicicletas	Bicicletas
19	Turismo Tapas de los extremos	NA	null		NA			null	null
379	Ruta-250 Negro, 58	Negro	2181,5625	58	54-58 CM	R	Ruta-250	Ruta Bicicletas	Bicicletas
482	Calcetines de carreras, L	Blanco	8,99	L	L	R	Calcetines de carreras	Calcetines	Ropa
446	Turismo de alforjas grandes	Gris	125		NA	T	Turismo Alforjas	Alforjas	Accesorios
246	HL Ruta Marco - Rojo, 48	Rojo	1431,5	48	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
254	LL Ruta Marco - Negro, 58	Negro	306,5636	58	54-58 CM	R	LL Ruta Marco	Ruta Marco	Componentes
391	LL Tenedor	NA	148,22		NA		LL Tenedor	Tenedores	Componentes
359	Montaña-200 Negro, 38	Negro	2294,99	38	38-40 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
323	Ruta-650 Rojo, 60	Rojo	782,99	60	60-62 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
405	ML Ruta Manillar	NA	56,2909		NA	R	ML Ruta Manillar	Manillar	Componentes
205	Asientos S.	NA	null		NA			null	null
506	LL Turismo Marco - Amarillo, 44	Amarillo	333,42	44	42-46 CM	T	LL Turismo Marco	Turismo Marco	Componentes
84	Externo Candado 9	NA	null		NA			null	null
531	LL Montaña Marco - Negro, 42	Negro	249,79	42	42-46 CM	M	LL Montaña Marco	Montaña Marco	Componentes
460	Pantalón corto con tirantes Hombre, M	Múltiple	89,99	M	M	S	Pantalón corto con tirantes Hombre	Pantalón de tirantes	Ropa
579	Turismo-2000 Azul, 54	Azul	1214,85	54	54-58 CM	T	Turismo-2000	Turismo Bicicletas	Bicicletas
188	ML Montaña Embalaje del asiento	NA	null		NA			null	null
596	Montaña-500 Negro, 40	Negro	539,99	40	38-40 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
89	Externo Candado 8	NA	null		NA			null	null
398	LL Montaña Manillar	NA	44,54		NA	M	LL Montaña Manillar	Manillar	Componentes
483	Enganche - 4-Bicicleta	NA	120		NA	S	Enganche - 4-Bicicleta	Bastidores de bicicletas	Accesorios
203	Poste del asiento	NA	null		NA			null	null
219	Montaña Bicicleta Calcetines, L	Blanco	9,5	L	L	M	Montaña Bicicleta Calcetines	Calcetines	Ropa
266	LL Ruta Marco - Rojo, 52	Rojo	306,5636	52	48-52 CM	R	LL Ruta Marco	Ruta Marco	Componentes
484	Disolvente para lavar Bicicletas	NA	7,95		NA	S	Limpiador Bicicleta	Limpiadores	Accesorios
302	HL Montaña Marco - Negro, 46	Negro	1226,9091	46	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
320	Ruta-650 Rojo, 58	Rojo	699,0982	58	54-58 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
399	ML Montaña Manillar	NA	56,2909		NA	M	ML Montaña Manillar	Manillar	Componentes
94	Interno Candado 5	NA	null		NA			null	null
548	Turismo Pedal	Plateado/Negro	80,99		NA	T	Turismo Pedal	Pedales	Componentes
245	HL Ruta Marco - Rojo, 48	Rojo	1301,3636	48	48-52 CM	R	HL Ruta Marco	Ruta Marco	Componentes
549	ML Montaña Marco-W - Plateado, 38	Plateado	364,09	38	38-40 CM	M	ML Montaña Marco-W	Montaña Marco	Componentes
298	HL Montaña Marco - Negro, 42	Negro	1349,6	42	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
184	ML Ruta Llanta	NA	null		NA			null	null
383	Ruta-550-W Amarillo, 40	Amarillo	1000,4375	40	38-40 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
413	LL Ruta Rueda delantera	Negro	85,565		NA	R	LL Ruta Rueda delantera	Ruedas	Componentes
394	LL Auriculares	NA	34,2		NA		LL Auriculares	Auricularess	Componentes
510	LL Turismo Marco - Azul, 44	Azul	333,42	44	42-46 CM	T	LL Turismo Marco	Turismo Marco	Componentes
409	ML Montaña Marco - Negro, 38	Negro	348,76	38	38-40 CM	M	ML Montaña Marco-W	Montaña Marco	Componentes
457	Licra de mujer M	Negro	74,99	M	M	S	Mallas de mujer	Mallas	Ropa
99	Interno Candado 8	NA	null		NA			null	null
527	LL Montaña Marco - Plateado, 52	Plateado	264,05	52	48-52 CM	M	LL Montaña Marco	Montaña Marco	Componentes
485	Juego de guardabarros - Montaña	NA	21,98		NA	M	Juego de guardabarros - Montaña	Guardabarros	Accesorios
15	Calcomanía 2	NA	null		NA			null	null
104	Candado fino 2	NA	null		NA			null	null
144	Candado 10	NA	null		NA			null	null
597	Montaña-500 Negro, 42	Negro	539,99	42	42-46 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
468	Guantes de dedo completo, S	Negro	37,99	S	S	M	Guantes de dedo completo	Guantes	Ropa
381	Ruta-550-W Amarillo, 38	Amarillo	1000,4375	38	38-40 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
109	Candado fino 3	NA	null		NA			null	null
149	Candado 7	NA	null		NA			null	null
186	Turismo Llanta	NA	null		NA			null	null
42	Candado hexagonal 15	NA	null		NA			null	null
114	Candado fino 8	NA	null		NA			null	null
522	ML Turismo Asiento/Sillín	NA	39,14		NA	T	ML Turismo Asiento/Sillín	Asientos	Componentes
488	Camiseta de mangas cortas, S	Amarillo	53,99	S	S	S	Camiseta de mangas cortas	Jerseys	Ropa
154	Candado 11	NA	null		NA			null	null
567	Turismo-3000 Azul, 62	Azul	742,35	62	60-62 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
47	Candado hexagonal 4	NA	null		NA			null	null
119	Candado de bloqueo 16	NA	null		NA			null	null
526	LL Montaña Marco - Plateado, 48	Plateado	264,05	48	48-52 CM	M	LL Montaña Marco	Montaña Marco	Componentes
330	Ruta-650 Rojo, 52	Rojo	699,0982	52	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
159	Placa metálica 1	NA	null		NA			null	null
530	Turismo Tubo de neumáticos	NA	4,99		NA	T	Turismo Tubo de neumáticos	Neumáticos y tubos	Accesorios
389	Ruta-550-W Amarillo, 48	Amarillo	1000,4375	48	48-52 CM	R	Ruta-550-W	Ruta Bicicletas	Bicicletas
565	Turismo-3000 Azul, 54	Azul	742,35	54	54-58 CM	T	Turismo-3000	Turismo Bicicletas	Bicicletas
583	Ruta-350-W Amarillo, 48	Amarillo	1700,99	48	48-52 CM	R	Ruta-350-W	Ruta Bicicletas	Bicicletas
52	Candado hexagonal 12	NA	null		NA			null	null
516	ML Montaña Asiento/Sillín	NA	39,14		NA	M	ML Montaña Asiento/Sillín 2	Asientos	Componentes
124	Candado de bloqueo 22	NA	null		NA			null	null
26	Candado plano 4	NA	null		NA			null	null
250	HL Ruta Marco - Rojo, 56	Rojo	1263,4598	56	54-58 CM	R	HL Ruta Marco	Ruta Marco	Componentes
312	Ruta-150 Rojo, 48	Rojo	3578,27	48	48-52 CM	R	Ruta-150	Ruta Bicicletas	Bicicletas
164	Lámina de metal 4	NA	null		NA			null	null
408	HL Ruta Manillar	NA	120,27		NA	R	HL Ruta Manillar	Manillar	Componentes
427	ML Montaña Marco - Negro, 44	Negro	348,76	44	42-46 CM	M	ML Montaña Marco	Montaña Marco	Componentes
57	Tuerca Hexagonal 17	NA	null		NA			null	null
508	LL Turismo Marco - Amarillo, 54	Amarillo	333,42	54	54-58 CM	T	LL Turismo Marco	Turismo Marco	Componentes
129	Candado de bloqueo 10	NA	null		NA			null	null
16	Tubo descendente	NA	null		NA			null	null
414	ML Ruta Rueda delantera	Negro	248,385		NA	R	ML Ruta Rueda delantera	Ruedas	Componentes
361	Montaña-200 Negro, 42	Negro	2294,99	42	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
62	Tuerca Hexagonal 23	NA	null		NA			null	null
134	Candado de bloqueo 3	NA	null		NA			null	null
515	LL Montaña Asiento/Sillín	NA	27,12		NA	M	LL Montaña Asiento/Sillín 2	Asientos	Componentes
296	HL Montaña Marco - Negro, 42	Negro	1191,1739	42	42-46 CM	M	HL Montaña Marco	Montaña Marco	Componentes
183	LL Ruta Llanta	NA	null		NA			null	null
363	Montaña-200 Negro, 46	Negro	2294,99	46	42-46 CM	M	Montaña-200	Montaña Bicicletas	Bicicletas
470	Guantes de dedo completo, L	Negro	37,99	L	L	M	Guantes de dedo completo	Guantes	Ropa
598	Montaña-500 Negro, 44	Negro	539,99	44	42-46 CM	M	Montaña-500	Montaña Bicicletas	Bicicletas
602	ML Pedal	NA	101,24		NA		ML Pedal	Pedales	Componentes
364	Montaña-300 Negro, 38	Negro	1079,99	38	38-40 CM	M	Montaña-300	Montaña Bicicletas	Bicicletas
67	Tuerca Hexagonal 11	NA	null		NA			null	null
139	Candado de bloqueo 18	NA	null		NA			null	null
340	Ruta-650 Negro, 48	Negro	699,0982	48	48-52 CM	R	Ruta-650	Ruta Bicicletas	Bicicletas
590	Montaña-400-W Plateado, 46	Plateado	769,49	46	42-46 CM	M	Montaña-400-W	Montaña Bicicletas	Bicicletas
490	Camiseta de mangas cortas, L	Amarillo	53,99	L	L	S	Camiseta de mangas cortas	Jerseys	Ropa
557	ML Platos y bielas	Negro	256,49		NA		ML Platos y bielas	Platos y bielas	Componentes
72	Tuerca Hexagonal 14	NA	null		NA			null	null
514	Frenos traseros	Plateado	106,5		NA		Frenos traseros	Frenos	Componentes
234	Manga larga Jersey, L	Múltiple	49,99	L	L	S	Manga larga Jersey	Jerseys	Ropa
